name,president,start_president,end_president,ministry,start_minister,end_minister,días,edad,debut,sexo,experiencia,exp_executive,exp_congress,exp_ngo,exp_thinktanks,exp_business
"Huepe García, Claudio",Ricardo Lagos,2000-03-11,2006-03-11,SEGEGOB,2000-03-11,2002-01-07,667,60,2000,0,3,0,1,1,1,0
"Mladinic Alonso, Carlos",Eduardo Frei,1994-03-11,2000-03-11,SEGEGOB,1999-06-22,2000-03-11,263,44,1999,0,0,0,0,0,0,0
"Muñoz Valenzuela, Heraldo",Ricardo Lagos,2000-03-11,2006-03-11,SEGEGOB,2002-01-07,2003-03-03,420,53,2002,0,0,0,0,0,0,0
"Rebolledo González, Víctor Manuel",Eduardo Frei,1994-03-11,2000-03-11,SEGEGOB,1994-03-11,1994-09-20,193,44,1994,0,1,0,1,0,0,0
"Vidal Salinas, Francisco",Ricardo Lagos,2000-03-11,2006-03-11,SEGEGOB,2003-03-03,2005-05-24,813,49,2003,0,1,0,0,1,0,0
"Vidal Salinas, Francisco",Michelle Bachelet,2006-03-11,2010-03-11,SEGEGOB,2007-12-06,2009-03-12,462,54,2007,0,2,1,0,1,0,0
"Armanet Armanet, Pilar",Michelle Bachelet,2006-03-11,2010-03-11,SEGEGOB,2009-12-18,2010-03-11,83,59,2009,1,1,1,0,0,0,0
"Pérez Jara, Cecilia",Sebastián Piñera,2010-03-11,2014-03-11,SEGEGOB,2012-11-05,2014-03-11,491,38,2012,1,1,1,0,0,0,0
"Von Baer Jahn, Ena",Sebastián Piñera,2010-03-11,2014-03-11,SEGEGOB,2010-03-11,2011-07-18,494,35,2010,1,0,0,0,0,0,0
"Arriagada Herrera, Genaro",Eduardo Frei,1994-03-11,2000-03-11,SEGPRES,1994-03-11,1996-09-28,932,51,1994,0,2,0,0,1,1,0
"Biehl del Rio, John",Eduardo Frei,1994-03-11,2000-03-11,SEGPRES,1998-08-01,1999-06-22,325,58,1998,0,0,0,0,0,0,0
"Boeninger Kausel, Edgardo",Patricio Aylwin,1990-03-11,1994-03-11,SEGPRES,1990-03-11,1994-03-11,1461,64,1990,0,3,1,0,1,1,0
