id,elección,elección_tipo,región,region2,distrito2,distrito,número_papeleta,electo,coord1D_all,coord2D_all,coord1D_normal_all,coord2D_normal_all,nombre_completo,sexo,edad,profesión,lista,lista_box,partido,militante,directivo,agua,cebra,n_votos,p_votos,magnitud_distrital,votos_servel,porcentaje_servel,votos_servel_ld,p_votos_ld,kast_1v2021,boric_1v2021,borickast_1v2021,jadue_pr2021,electo_noparidad,electo_paridad,paridad_servel,min_patrocinios_indlistas,min_patrocinios_ifp,n_aportes,dinero_aportes,tope_distrito,miembro_voceriadelpueblo,coord1D_mil,coord2D_mil,coord1D_normal_mil,coord2D_normal_mil,coord1D_tresmil,coord2D_tresmil,coord1D_normal_tresmil,coord2D_normal_tresmil
946,Convencionales Constituyentes,1,Bío-Bío,8,#D20 - Concepción,20,XP17,1,0.912003994,0.410181373,9.56001997,7.050906867,Rocio Cantuarias Rubio,1,42,Abogada,Vamos Por Chile,Vamos por Chile,EVO-IND,0,0,0,0,16957,5.56,7,16957,5.56,57773,29.35108095,29.1,21.93,51.03,18.08837527,1,1,0,1888,755,53,68164413,358593039,0,0.888350725,0.459165454,9.441753626,7.29582727,0.930651009,-0.365907997,9.653255045,3.170460016
1087,Convencionales Constituyentes,1,Araucanía,9,#D23 - Temuco,23,YQ28,1,-0.832908094,-0.000555525,0.83545953,4.997222376,Manuela Royo Letelier,1,38,Abogada,Apruebo Dignidad,Apruebo Dignidad - PC,PI-IND,0,0,0,0,8613,5.31,6,8613,5.31,17383,49.54840937,39.28,18.04,57.32,15.30792815,1,1,0,1262,505,56,7192000,272684360,1,-0.79377234,0.070261545,1.031138301,5.351307727,-0.82931906,-0.150035843,0.853404701,4.249820784
427,Convencionales Constituyentes,1,Metropolitana,5.5,#D9 - Recoleta,9,YB26,1,-0.345922559,-0.888981938,3.270387203,0.555090308,Cesar Valenzuela Maass,0,32,Abogado,Lista Del Apruebo,Lista del Apruebo,PS ,1,0,0,0,9592,3.03,6,9592,3.03,33803,28.37617963,20.74,32.87,53.61,33.33283468,1,1,0,1889,756,56,18520000,381772286,0,-0.289465785,-0.957188427,3.552671075,0.214057863,-0.324387968,-0.312369287,3.378060162,3.438153565
1132,Convencionales Constituyentes,1,Los Ríos,9.5,#D24 - Valdivia,24,XP17,1,0.705076754,0.372071147,8.52538377,6.860355735,Felipe Ignacio Mena Villar,0,38,Ingeniero,Vamos Por Chile,Vamos por Chile,UDI,1,0,0,0,6209,5.44,4,6209,5.44,24658,25.18046881,33.15,23.17,56.32,19.62508237,1,1,0,777,311,59,47240000,168609000,0,0.582157075,0.351780653,7.910785377,6.758903265,0.775861979,0.074800156,8.879309893,5.37400078
1034,Convencionales Constituyentes,1,Araucanía,9,#D22 - Angol,22,XP6,1,0.704740286,0.566650987,8.523701429,7.833254933,Eduardo Andres Cretton Rebolledo,0,25,Licenciado en Derecho,Vamos Por Chile,Vamos por Chile,UDI,1,0,0,0,7925,9.96,3,7925,9.96,23925,33.12434692,48.59,13.33,61.92,12.2304366,1,1,0,606,300,62,45198015,141887798,0,0.661535561,0.454953223,8.307677805,7.274766117,0.724794745,-0.218722686,8.623973727,3.906386569
638,Convencionales Constituyentes,1,Metropolitana,5.5,#D12 - Puente Alto,12,YV44,1,-0.612583697,-0.095936418,1.937081516,4.520317912,Benito Jose Baranda Ferran,0,62,Psicólogo,Independientes Por Una Nueva Constitucion (D12),Independent,IND,0,0,1,1,47081,12.65,6,47081,12.65,73819,63.77897289,19.2,35.17,54.37,28.98881753,1,1,0,1938,775,63,11129533,398324523,0,-0.472377568,-0.211074263,2.638112158,3.944628686,-0.657515287,0.461796045,1.712423563,7.308980227
527,Convencionales Constituyentes,1,Metropolitana,5.5,#D10 - Santiago,10,ZT70,1,-0.357291967,-0.308757871,3.213540167,3.456210643,Patricia Politzer Kerekes,1,69,Periodista,Independientes Por La Nueva Constitucion  (D10),Independent,IND,0,0,0,0,31739,7.47,7,31739,7.47,50015,63.45896231,24.65,36.64,61.29,23.66695307,1,1,0,2345,938,66,38482121,443603850,0,-0.339701623,-0.37440452,3.301491886,3.127977401,-0.336902589,0.099922523,3.315487057,5.499612615
570,Convencionales Constituyentes,1,Metropolitana,5.5,#D11 - Las Condes,11,YQ35,1,-0.512957752,-0.858413935,2.435211241,0.707930326,Constanza Gabriela Schonhaut Soto,1,32,Abogada,Apruebo Dignidad,Apruebo Dignidad - FA,CS,1,0,0,0,21536,5.6,6,21536,5.6,49449,43.55194241,39.79,17.74,57.53,8.305259818,1,1,0,2036,815,74,14576747,328387587,0,-0.50145942,-0.757830024,2.492702901,1.210849881,-0.484339595,-0.874880016,2.578302026,0.625599921
838,Convencionales Constituyentes,1,Maule,7,#D17 - Talca,17,YB24,1,-0.460116893,-0.887858272,2.699415535,0.560708642,Christian Viera Alvarez,0,48,Abogado,Lista Del Apruebo,Lista del Apruebo,DC-IND,0,0,0,0,9164,4.02,7,9164,4.02,31349,29.23219241,28.63,20.6,49.23,17.61074547,1,1,0,1369,548,76,13255222,265633177,0,-0.412859827,-0.809620321,2.935700864,0.951898396,-0.441544414,-0.897239387,2.792277932,0.513803065
566,Convencionales Constituyentes,1,Metropolitana,5.5,#D11 - Las Condes,11,YB31,1,-0.316320211,-0.622671902,3.418398947,1.886640489,Patricio Fernandez Chadwick,0,51,Periodista,Lista Del Apruebo,Lista del Apruebo,PL-IND,0,0,1,0,11882,3.09,6,11882,3.09,50792,23.39344779,39.79,17.74,57.53,8.305259818,1,1,0,2036,815,83,74186177,328387587,0,-0.310248762,-0.590758204,3.448756188,2.046208978,-0.293199152,-0.145496711,3.534004241,4.272516444
550,Convencionales Constituyentes,1,Metropolitana,5.5,#D11 - Las Condes,11,XP15,1,0.438358814,-0.164144844,7.191794068,4.179275781,Hernan Larrain Matte,0,46,Abogado,Vamos Por Chile,Vamos por Chile,EVO,1,0,0,0,29373,7.64,6,29373,7.64,168135,17.46989027,39.79,17.74,57.53,8.305259818,1,1,0,2036,815,85,124926660,328387587,0,0.371270031,0.037682444,6.856350154,5.188412219,0.474998713,0.721097648,7.374993563,8.605488241
489,Convencionales Constituyentes,1,Metropolitana,5.5,#D10 - Santiago,10,YQ32,1,-0.584589362,-0.811329305,2.077053189,0.943353474,Giovanna Angela Roa Cadin,1,34,Diseñadora,Apruebo Dignidad,Apruebo Dignidad - FA,RD,1,0,0,0,3875,0.91,7,3875,0.91,97591,3.970653032,24.65,36.64,61.29,23.66695307,1,1,0,2345,938,86,6337099,443603850,0,-0.496671021,-0.800512731,2.516644895,0.997436345,-0.521362185,-0.741770327,2.393189073,1.291148365
750,Convencionales Constituyentes,1,O'Higgins,6,#D15 - Rancagua,15,XP12,1,0.824259043,0.421135455,9.121295214,7.105677277,Carol Bown Sepulveda,1,42,Abogada,Vamos Por Chile,Vamos por Chile,UDI,1,0,0,0,7402,4.09,5,7402,4.09,29607,25.00084439,24.87,25.51,50.38,19.38858237,1,1,0,1019,408,91,65498369,207308257,0,0.731906891,0.550587773,8.659534454,7.752938867,0.875911057,-0.273539454,9.379555285,3.632302731
552,Convencionales Constituyentes,1,Metropolitana,5.5,#D11 - Las Condes,11,XP17,1,0.457405806,0.086569957,7.287029028,5.432849787,Bernardo Fontaine Talavera,0,56,Economista,Vamos Por Chile,Vamos por Chile,RN-IND,0,0,0,0,16728,4.35,6,16728,4.35,168135,9.949148006,39.79,17.74,57.53,8.305259818,1,1,0,2036,815,92,133617985,328387587,0,0.483501107,0.108467288,7.417505533,5.542336442,0.456456482,0.387447953,7.282282412,6.937239766
555,Convencionales Constituyentes,1,Metropolitana,5.5,#D11 - Las Condes,11,XP20,1,0.872527122,0.488565475,9.362635612,7.442827374,Constanza Hube Portus,1,35,Abogada,Vamos Por Chile,Vamos por Chile,UDI,1,0,0,0,18806,4.89,6,18806,4.89,168135,11.18505962,39.79,17.74,57.53,8.305259818,1,1,0,2036,815,95,96361531,328387587,0,0.79559356,0.605830789,8.977967799,8.029153943,0.924295127,-0.381678462,9.621475637,3.09160769
288,Convencionales Constituyentes,1,Valparaíso,5,#D7 - Valparaíso,7,YB23,1,-0.118603073,-0.169697821,4.406984635,4.151510894,Agustin Squella Narducci,0,76,Periodista,Lista Del Apruebo,Lista del Apruebo,PL-IND,0,0,0,1,17737,5.35,7,17737,5.35,45751,38.76855151,27.8,29.94,57.74,24.80737763,1,1,0,1801,720,97,47216825,363640918,0,-0.036144737,-0.147643298,4.819276314,4.26178351,-0.115852073,0.015698012,4.420739636,5.07849006
207,Convencionales Constituyentes,1,Valparaíso,5,#D6 - Quilpué,6,XP13,1,0.4504641,-0.140186638,7.252320498,4.299066812,Ruggero Cozzi Elzo,0,34,Abogado,Vamos Por Chile,Vamos por Chile,RN-IND,0,0,0,0,10814,3.29,8,10814,3.29,53945,20.0463435,25.59,26.35,51.94,22.49604784,1,1,0,1822,729,98,76385283,355036873,0,0.390817463,-0.077932671,6.954087317,4.610336646,0.480084687,0.582804739,7.400423437,7.914023697
787,Convencionales Constituyentes,1,O'Higgins,6,#D16 - San Fernando,16,XP8,1,0.708160758,0.453271031,8.54080379,7.266355157,Ricardo Neumann Bertin,0,33,Abogado,Vamos Por Chile,Vamos por Chile,UDI-IND,0,0,0,0,11772,8.29,4,11772,8.29,33126,35.53704039,26.15,22.23,48.38,17.66580919,1,1,0,749,300,108,85613350,159350393,0,0.595667481,0.424946427,7.978337407,7.124732137,0.764472485,0.027696727,8.822362423,5.138483634
