date,eleccion,delta,encuesta,encuestados,metodo,tipo,prob,precision_kast,Kast,precision_boric,Boric,precision sichel,Sichel,precision parisi,Parisi,precision_provoste,Provoste,precision_enriquez,Enriquez,precision_artes,Artes,precision_promedio,nsnr,pregunta
2021-08-06,2021-11-17,103,Cadem,702,online,closed,0,18.00,10.00,5.00,21.00,11.00,24.00,13.00,,2.00,10.00,8.00,,1.00,,8.29,28.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-08-03,2021-11-17,106,Criteria Research,1026,online,open,0,21.00,7.00,1.00,25.00,12.00,25.00,10.00,3.00,1.00,11.00,8.00,,1.00,,7.71,13.00,"Pensando en el futuro, ¿quién te gustaría que fuera el próximo presidente o presidenta de Chile después de Sebastián Piñera? (ÚNICA MENCIÓN EN PREGUNTA ABIERTA)"
2021-08-02,2021-11-17,107,Data Influye,1411,online,closed,0,19.10,8.90,3.50,29.50,6.90,19.90,13.00,,1.70,13.70,8.00,,1.00,,7.60,8.80,"Pensando en la elección presidencial, si esta elección fuese el próximo domingo, ¿por quién votaría Ud., para presidente/a de Chile el 2021? (lista cerrada con alternativas dadas)"
2021-07-30,2021-11-17,110,Activa Research,1317,online,closed,0,21.20,6.80,3.10,22.90,5.00,18.00,7.90,5.10,0.10,12.10,7.00,1.00,0.50,0.50,6.40,26.70,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías? (cerrada)
2021-07-30,2021-11-17,110,Activa Research,857,online,closed,1,21.20,6.80,2.30,28.30,6.60,19.60,6.10,6.90,3.80,15.80,7.10,0.90,0.70,0.30,6.83,14.30,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías? (cerrada)
2021-07-30,2021-11-17,110,Cadem,703,online,open,0,21.00,7.00,2.00,24.00,11.00,24.00,13.00,,1.00,13.00,8.00,,1.00,,8.14,24.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas."
2021-07-30,2021-11-17,110,Feedback,4066,online,open,0,18.00,10.00,3.00,23.00,9.00,22.00,13.00,,7.00,5.00,7.00,1.00,1.00,,8.29,15.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por quién votaría usted? (menciones espontáneas sobre ±1%)"
2021-07-30,2021-11-17,110,Feedback,4066,online,open,1,19.00,9.00,3.00,29.00,8.00,21.00,12.00,1.00,6.00,6.00,8.00,,1.00,,8.14,,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por quién votaría usted? (menciones espontáneas sobre ±1%)"
2021-07-26,2021-11-17,114,Black & White,1844,online,closed,0,15.00,13.00,0.00,26.00,22.00,35.00,13.00,,0.00,12.00,8.00,,1.00,,8.43,9.00,"Si las elecciones presidenciales fueran el próximo domingo, por quien votaría si las candidaturas fueran:"
2021-07-23,2021-11-17,117,Cadem,700,online,closed,0,20.00,8.00,4.00,30.00,12.00,25.00,13.00,,0.00,12.00,8.00,,1.00,,8.29,16.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted?"
2021-07-15,2021-11-17,125,Cadem,3200,online,open,0,22.00,6.00,14.00,12.00,2.00,15.00,8.00,5.00,3.00,9.00,8.00,,1.00,,8.29,12.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas."
