country,year,general_consumption_price,domestic_absorption_price,household_consumption_price,output-side_gdp_price,exchange_rate
Peru,1968,0.09271045,0.097560875,0.093115464,0.098468564,0.00000003869999999900000000
Peru,1969,0.098641612,0.103637077,0.099928766,0.105599865,0.00000003869999999900000000
Peru,1970,0.105443604,0.110195898,0.106921576,0.113746174,0.00000003869999999900000000
Peru,1971,0.113028154,0.119202435,0.115325727,0.119733073,0.00000003869999999900000000
Peru,1972,0.125518933,0.130004153,0.129057199,0.129571304,0.00000003869999999900000000
Peru,1973,0.135394409,0.141759649,0.137857333,0.143281206,0.00000003869999999900000000
Peru,1974,0.155566022,0.164960042,0.162118569,0.165849358,0.00000003869999999900000000
Peru,1975,0.192310274,0.200901419,0.203891546,0.192885727,0.00000004037083333258330000
Peru,1976,0.179392099,0.188125104,0.192142367,0.182692632,0.00000005575583333291670000
Peru,1977,0.161891326,0.169009358,0.174999714,0.167136475,0.00000008423483333258330000
Peru,1978,0.139335334,0.14743793,0.153233662,0.148140624,0.00000015634883333275000000
Peru,1979,0.15842922,0.171785787,0.174233928,0.184774891,0.00000022471891666566700000
Peru,1980,0.197985604,0.216885254,0.215636477,0.222960919,0.00000028885524999866700000
Peru,1981,0.232764602,0.254112959,0.249974191,0.251192361,0.00000042231799999850000000
Peru,1982,0.232350469,0.255337954,0.251500577,0.252860725,0.00000069756674999766700000
Peru,1983,0.196949646,0.212682918,0.214130595,0.211761892,0.00000162863416666367000000
Peru,1984,0.193711072,0.210165158,0.209286928,0.213614047,0.00000346685416666492000000
Peru,1985,0.159558594,0.17550315,0.173759565,0.182809964,0.00001097494249999990000000
Peru,1986,0.221716538,0.237952173,0.242366791,0.236412883,0.00001394750000000000000000
Peru,1987,0.32760796,0.34623912,0.348171532,0.345408767,0.00001683583333333330000000
Peru,1988,0.288550675,0.318482488,0.315813214,0.317909449,0.00012883166666666700000000
Peru,1989,0.405330181,0.425884604,0.440155029,0.427574813,0.00266618750000000000000000
Peru,1990,0.334271163,0.35172835,0.364475995,0.353505284,0.18788557916666700000000000
Peru,1991,0.385952562,0.397865683,0.444984078,0.400409907,0.77250000000000000000000000
Peru,1992,0.399091929,0.407424778,0.465867579,0.406979859,1.24583333333333000000000000
Peru,1993,0.359751135,0.367890835,0.418718576,0.368702769,1.98831891666667000000000000
Peru,1994,0.39910686,0.406937808,0.45953986,0.408026487,2.19500000000000000000000000
Peru,1995,0.424629956,0.433689654,0.481531054,0.435504824,2.25333333333333000000000000
Peru,1996,0.427227616,0.429273754,0.483173907,0.429800987,2.45333333333333000000000000
